iteration,onnx_export_sec,selfplay_sec,memory_load_sec,stats_load_sec,monitor_log_sec,train_total_sec,train_epoch_avg_sec,train_epoch_min_sec,train_epoch_max_sec,save_sec,iteration_total_sec,memory_rows,selfplay_rows_per_sec
0,0.175361,521.689551,0.560116,0.007113,0.059648,32.923907,8.230230,7.178821,9.198007,0.036645,555.452831,47729,91.489
1,0.080081,426.877216,0.483328,0.008325,0.040061,26.085453,6.520979,6.077805,7.055204,0.058268,453.633343,38156,89.384
2,0.108103,328.677875,0.300013,0.006346,0.035725,15.544218,3.885726,3.335505,4.249142,0.030734,344.703547,24043,73.151
3,0.070319,255.615325,0.198926,0.005427,0.035195,9.898470,2.474299,2.391101,2.582214,0.031047,265.855151,17659,69.084
4,0.065413,205.601845,0.175391,0.005104,0.030543,8.937817,2.234137,2.178803,2.307079,0.035160,214.852018,15631,76.026
5,0.074065,213.873553,0.176185,0.005031,0.030029,11.611763,2.902623,2.668315,3.101758,0.031521,225.802589,16862,78.841
6,0.072253,237.132500,0.198792,0.005009,0.032912,10.802702,2.700376,2.661484,2.740651,0.032863,248.277645,17619,74.300
7,0.074365,233.687423,0.194761,0.005061,0.032643,9.745126,2.435963,2.310636,2.494586,0.041276,243.781105,16504,70.624
8,0.074364,206.748087,0.172570,0.004901,0.032326,9.748374,2.436796,2.217469,2.642209,0.040188,216.821246,16674,80.649
9,0.069529,219.762124,0.227776,0.005421,0.034962,11.266318,2.816292,2.349125,3.000419,0.033210,231.400069,16703,76.005
10,0.081830,213.600199,0.180490,0.004818,0.032065,11.021604,2.755098,2.636871,2.879942,0.033080,224.954554,16138,75.552
11,0.069831,221.162297,0.176726,0.004842,0.033764,10.446422,2.611335,2.342485,2.751009,0.029195,231.923478,16530,74.741
12,0.068684,217.614897,0.339832,0.005194,0.032867,11.725198,2.931015,2.443830,3.204298,0.040488,229.827538,17545,80.624
13,0.087672,226.582098,0.192027,0.004888,0.031706,10.529854,2.632158,2.262078,3.116030,0.037751,237.466459,16915,74.653
14,0.078887,177.078509,0.198258,0.006056,0.029809,11.595690,2.898613,2.710767,3.244186,0.032648,189.020392,16680,94.196
15,0.068591,209.655148,0.196776,0.005607,0.032347,10.805631,2.701108,2.356455,2.901457,0.030853,220.795457,17460,83.280
16,0.065886,186.622699,0.187930,0.005103,0.031073,9.630709,2.407418,2.236046,2.716872,0.036174,196.580007,16600,88.950
17,0.084189,184.297872,0.187954,0.005018,0.029781,8.845883,2.211195,2.174788,2.268914,0.030707,193.481825,16302,88.455
18,0.072281,182.330242,0.187098,0.005800,0.031170,10.756787,2.688883,2.417358,2.897859,0.031358,193.415198,16858,92.459
19,0.067217,201.788963,0.204315,0.005338,0.030778,11.121951,2.780175,2.614016,3.059725,0.037132,213.256141,16846,83.483
20,0.074505,173.086801,0.160887,0.005697,0.028823,10.358577,2.589327,2.155301,2.829605,0.036625,183.752333,15822,91.411
21,0.068827,160.889011,0.184662,0.005062,0.028169,9.528328,2.381795,2.156494,2.772734,0.029757,170.734284,15588,96.887
22,0.063078,157.541292,0.175929,0.004969,0.028701,9.236672,2.308861,2.104901,2.497080,0.033782,167.084897,15618,99.136
23,0.068484,181.611403,0.183792,0.004978,0.031024,9.552452,2.387804,2.191358,2.746523,0.040436,191.493092,16284,89.664
24,0.091071,189.025615,0.214158,0.005434,0.029658,9.800986,2.449945,2.262989,2.648866,0.028523,199.195951,16854,89.163
25,0.092817,173.494698,0.190832,0.005361,0.033181,10.407957,2.601699,2.350594,2.759137,0.027807,184.253178,16443,94.775
26,0.061302,171.251723,0.189324,0.005450,0.029423,9.386072,2.346220,2.175772,2.654058,0.027554,180.951322,16305,95.211
27,0.067790,166.510601,0.291077,0.007638,0.040382,10.516803,2.628876,2.316854,2.918929,0.029637,177.464626,15890,95.429
28,0.064781,169.983728,0.187601,0.005153,0.031711,11.140978,2.784940,2.607239,2.911243,0.029328,181.443776,15815,93.038
29,0.070830,156.665751,0.160314,0.004873,0.028282,10.224686,2.555873,2.400923,2.669279,0.032355,167.187486,15388,98.222
0,0.163917,525.475872,0.505783,0.007719,0.062654,32.154591,8.037982,7.437543,8.600174,0.046178,558.417090,46665,46665,88.805
1,0.091427,407.390144,0.892690,0.006261,0.038524,50.194930,12.548342,11.152131,13.852348,0.033263,458.647847,34046,80711,83.571
2,0.093417,335.608541,1.225371,0.007407,0.036918,72.442536,18.110287,17.884495,18.362415,0.036958,409.451719,27014,107725,80.493
3,0.078747,305.320444,1.442081,0.006633,0.034209,87.830306,21.957232,21.486269,22.523723,0.029672,394.742615,23316,131041,76.366
4,0.076163,287.262288,1.677310,0.006246,0.037718,97.857204,24.463974,23.385658,25.735044,0.041793,386.959233,21327,152368,74.242
5,0.074049,274.558841,1.431133,0.008553,0.041105,80.087977,20.021649,19.452514,21.010944,0.040065,356.242392,20933,126636,76.242
6,0.074334,296.397683,1.421566,0.007365,0.037396,72.903887,18.225647,17.118216,19.166996,0.031327,370.874137,23610,116200,79.656
7,0.078628,271.223931,1.330321,0.006728,0.033292,70.511953,17.627644,17.031400,18.393580,0.040695,343.226025,21735,110921,80.137
8,0.080558,272.975901,1.261628,0.006877,0.036721,67.385836,16.846080,15.460241,18.018278,0.035370,341.783399,22256,109861,81.531
9,0.079701,232.711436,1.246651,0.007247,0.034650,71.937296,17.983961,17.668401,18.359240,0.029780,306.047257,19465,107999,83.644
10,0.076755,251.645866,1.275042,0.006494,0.033200,65.566425,16.391265,15.490063,17.671116,0.035187,318.639421,20030,107096,79.596
11,0.068737,291.664113,1.096128,0.006643,0.039195,66.376578,16.593853,15.670646,17.365689,0.035423,359.287265,21763,105249,74.617
12,0.070232,267.319674,1.389369,0.006339,0.037100,70.303614,17.575583,16.747167,18.216129,0.032392,339.159166,22216,105730,83.106
13,0.069534,324.250976,1.253609,0.006656,0.041247,67.933132,16.982923,15.048279,18.070236,0.037972,393.593590,25069,108543,77.314
14,0.081021,290.796519,1.291723,0.006982,0.051209,71.415622,17.853571,17.426598,18.783284,0.031736,363.675284,23836,112914,81.968
15,0.066897,342.401882,1.295214,0.006957,0.045277,79.012601,19.752821,19.371335,20.076357,0.033098,422.862392,25215,118099,73.642
16,0.069994,412.841019,1.322441,0.007050,0.043859,78.160531,19.539803,18.012785,20.835507,0.036979,492.482346,26043,122379,63.082
17,0.065805,335.988101,1.445718,0.007110,0.040859,78.455566,19.613571,18.670365,20.275593,0.037308,416.040910,25801,125964,76.791
18,0.074542,470.823691,1.538602,0.007514,0.050073,81.421650,20.355053,18.867944,22.003250,0.034192,553.950792,30017,130912,63.754
19,0.070348,394.862144,1.495778,0.007773,0.050248,90.292988,22.572916,22.262146,23.162857,0.031470,486.811276,28718,135794,72.729
20,0.070691,528.877548,1.492541,0.007507,0.050130,87.354369,21.838268,19.929722,23.319167,0.028960,617.882196,28479,139058,53.848
21,0.073016,542.691159,1.563156,0.007475,0.050336,91.549156,22.886961,20.850609,24.053300,0.036055,635.970812,29261,142276,53.918
22,0.076127,703.054832,1.681383,0.007392,0.050400,96.981592,24.245083,23.373009,25.115521,0.028871,801.881028,36889,153364,52.470
23,0.069611,704.146985,1.762913,0.007396,0.049551,98.046802,24.511393,24.256991,24.741591,0.038334,804.122058,35164,158511,49.938
24,0.076836,693.167241,1.885751,0.008653,0.056217,104.776837,26.193902,25.128354,27.083024,0.032364,800.004606,33885,163678,48.884
25,0.077239,696.086750,1.926564,0.007434,0.050670,109.572238,27.392726,25.828829,28.435090,0.031426,807.752777,34555,169754,49.642
26,0.079343,724.425594,2.046135,0.007471,0.051305,123.040440,30.759774,30.181421,32.008448,0.030519,849.681212,41762,182255,57.648
27,0.073418,725.576445,1.918517,0.008000,0.057411,125.610653,31.402317,31.156282,31.850524,0.041706,853.286666,37756,183122,52.036
